#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
41001 2012 02 24 15 50  MM   MM   MM   3.5     8   6.6  MM 1008.3  21.1  19.6  18.9   MM -0.4    MM
41004 2012 02 24 15 50 220 11.0 14.0   1.9     5   4.6  MM 1010.1  20.4  19.1  18.1   MM +0.7    MM
41008 2012 02 24 15 50 190  8.0 10.0   0.8     5   3.9  MM 1012.0  17.6  15.4  17.5   MM +0.7    MM
41009 2012 02 24 15 20 210  8.0  9.0   1.0     4   3.5  MM 1017.0  21.3  23.2  19.3   MM   MM    MM
41010 2012 02 24 15 20 200  4.0  4.0   1.1     6   4.5  MM 1016.8  22.7  21.9    MM   MM   MM    MM
41012 2012 02 24 15 50 210  9.0 10.0   0.9     4   3.5 170 1014.2  20.6  22.7    MM   MM +0.9    MM
41013 2012 02 24 15 50 210 12.0 14.0   2.7     8   5.6 204 1008.1  21.2  18.3  19.0   MM +0.3    MM
41024 2012 02 24 15 00 220 10.0   MM    MM    MM    MM  MM 1007.5  15.3    MM    MM   MM +0.5    MM
41036 2012 02 24 15 20  MM   MM   MM    MM    MM    MM  MM 1007.0  20.2  17.1  17.6   MM   MM    MM
41037 2012 02 24 15 00 210 10.0 12.0    MM    MM    MM  MM 1007.6  19.0  16.6    MM   MM +1.1    MM
41038 2012 02 24 15 00 210  6.0  7.0    MM    MM    MM  MM 1007.0  15.7  12.7    MM   MM +0.5    MM
41044 2012 02 24 15 50  80  7.0  9.0   2.5    14   6.8  MM 1021.3  24.7  25.8  20.0   MM +0.0    MM
41048 2012 02 24 15 50 210  9.0 11.0   2.0     9   5.8 256 1017.1  21.8  21.2  19.6   MM +0.0    MM
41049 2012 02 24 15 50  80  2.0  3.0   1.5     7   6.3  MM 1023.2  22.1  23.3  16.0   MM +0.3    MM
41052 2012 02 24 15 00  90  7.0  9.0   1.5     6    MM  MM 1018.0  26.1  26.1    MM   MM +1.1    MM
41053 2012 02 24 15 30  80  7.0  9.0    MM    MM    MM  MM 1018.5  25.9    MM    MM   MM   MM    MM
41053 2012 02 24 15 20  80  7.0  8.0    MM    MM    MM  MM 1018.5  25.8    MM    MM   MM   MM    MM
41053 2012 02 24 15 10  90  7.0  8.0    MM    MM    MM  MM 1018.6  25.9    MM    MM   MM   MM    MM
41053 2012 02 24 15 00  90  6.0  8.0   1.7    12    MM  MM 1018.6  26.0  26.0    MM   MM +1.2    MM
41060 2012 02 24 15 50  MM   MM   MM   3.1     9   6.7  77     MM    MM    MM    MM   MM   MM    MM
41101 2012 02 24 15 00  80  9.3   MM   3.1     9    MM  MM 1016.0  25.3  26.2  21.3   MM +1.0    MM
41110 2012 02 24 15 21  MM   MM   MM   1.5     8   5.4 163     MM    MM  12.7    MM   MM   MM    MM
41112 2012 02 24 15 21  MM   MM   MM   0.7     4   3.6 139     MM    MM  15.5    MM   MM   MM    MM
41113 2012 02 24 15 21  MM   MM   MM   0.6    13   3.8  83     MM    MM  20.4    MM   MM   MM    MM
41114 2012 02 24 15 46  MM   MM   MM   0.6    13   3.6  71     MM    MM  23.3    MM   MM   MM    MM
41114 2012 02 24 15 16  MM   MM   MM   0.6    13   3.6  76     MM    MM  23.3    MM   MM   MM    MM
41115 2012 02 24 15 35  MM   MM   MM   1.3    11   7.1   9     MM    MM    MM    MM   MM   MM    MM
41115 2012 02 24 15 05  MM   MM   MM   1.4    11   7.7 359     MM    MM    MM    MM   MM   MM    MM
42001 2012 02 24 15 50 190 11.0 13.0   2.2     7   5.7  MM 1013.9  24.2  23.8  21.2   MM +2.5    MM
42002 2012 02 24 15 50 330  5.0  6.0   1.3     7   5.1 133 1013.7  22.9  22.1  22.8   MM +5.2    MM
42003 2012 02 24 15 50 180  6.0  7.0   1.8     7   5.9 191 1015.5  24.4  23.1    MM   MM +1.7    MM
42012 2012 02 24 15 50 220  5.0  6.0   1.3     7   5.5 184 1011.9  19.4  18.5  19.4   MM +1.6    MM
42019 2012 02 24 15 50  10 16.0 18.0    MM    MM    MM  MM 1014.9  17.7    MM   8.9   MM +5.2    MM
42020 2012 02 24 15 50  20 14.0 18.0   3.3     7   5.7   7 1015.7  17.0  18.6   9.6   MM +6.1    MM
42035 2012 02 24 15 50  10 14.0 17.0   1.8     5   4.3  39 1016.1  15.7  16.1   4.5   MM +4.8    MM
42036 2012 02 24 15 50 190  6.0  7.0   1.4     7   5.1 201 1015.0  21.5  19.9  21.5   MM +2.3    MM
42040 2012 02 24 15 50 260  5.0  6.0   1.8     7   6.1 176 1013.2  20.2  19.9    MM   MM +2.6    MM
42055 2012 02 24 15 50 140  8.0 10.0   1.1     6   4.3 121 1009.8  25.0  23.9  21.7   MM +2.0    MM
42056 2012 02 24 15 50 130  9.0 11.0   1.4     6   4.9 136 1016.3  26.8  26.8    MM   MM +1.6    MM
42057 2012 02 24 15 50  70  8.0  9.0   1.3     8   5.0 107 1016.3  26.8    MM    MM   MM +1.5    MM
42058 2012 02 24 15 50  90 12.0 14.0   2.4     8   5.5  91 1014.7  26.4  26.5  19.9   MM +1.0    MM
42059 2012 02 24 15 50  80  9.0 11.0   1.8     7   4.9  MM 1017.0  26.4  26.6  19.9   MM +0.3    MM
42060 2012 02 24 15 50  60  9.0 10.0   1.8     5   4.7  MM 1018.2  25.5  26.3  20.3   MM +0.0    MM
42099 2012 02 24 15 27  MM   MM   MM   1.2     6   4.5 212     MM    MM  21.8    MM   MM   MM    MM
