## Station Owners file format is:
# OWNERCODE | OWNERNAME | COUNTRYCODE
A  |CaroCOOPS|US    
AC |U.S. Army Corps of Engineers|US    
AH |Amerada Hess|US    
AK |NWS Alaska Region|US    
AN |Anadarko|US    
AO |AOML  |US    
AP |Apache Deepwater LLC|US    
AT |ATP   |US    
AU |Australian Bureau of Meteorology|AU    
B  |Chesapeake Biological Lab|US    
BH |BHP   |US    
BP |BP Inc|US    
C  |Environment Canada|CA    
CA |Callon|US    
CB |Chesapeake Bay Interpretive Buoy System (CBIBS)|US    
CE |NWS Central Region|US    
CH |Chicago Park District|US    
CI |Caribbean Integrated Coastal Ocean Observing System (CarICoos)|US    
CM |Center for Coastal Margin Observation and Prediction|US    
CO |ConocoPhillips|US    
CP |California Polytechnic State University|US    
CR |CORMP |US    
CT |Chevron|US    
CY |Cobalt Energy|US    
D  |CORIE |US    
DC |DIMAR Colombia|CO    
DE |Devon Energy|US    
DG |Deep Gulf Energy|US    
DI |Dauphin Island Sea Lab|US    
DO |Dominion Exploration & Production Inc|US    
DW |Delaware Coastal Management Program|US    
E  |Hydrographic and Oceanographic Service of the Chilean Navy (SHOA)|CL    
EA |NWS Eastern Region|US    
EB |California State University, East Bay|US    
EM |EPA &amp; Mexican Government Cooperative Program|US    
EN |ENI Petroleum|US    
EP |El Paso E&P Company, L.P.|US    
ER |Energy Resources Technologies/Remington|US    
ES |Esso Petroleum, Australia|AU    
EX |ExxonMobil|US    
F  |Meteo France|FR    
FA |Federal Aviation Administration|US    
FG |Fugro GEOS|US    
FL |University of South Florida|US    
FS |Florida State University|US    
G  |GLERL |US    
H  |NC-COOS|US    
HC |Brazilian Navy Hydrographic Center|BR    
HE |Helix |US    
HP |University of Maryland Horn Point Laboratory|US    
HU |Humboldt State University|US    
HY |Hydromet (RFERHRI)|US    
I  |Long Island Ferry|US    
IC |Integrated Coral Observing Network (ICON)|US    
ID |Indonesian Agency for Assessment and Application of Technology (BPPT)|ID    
IM |Icelandic Maritime Administration|IS    
IN |Intellicheck Mobilisa|US    
IO |Australian Integrated Marine Observing System|AU    
IP |INPE Brazil|BR    
IS |Indian National Center for Ocean Information Services|IN    
J  |Stevens|US    
JM |Japanese Meteorological Agency|JP    
K  |TCOON |US    
KA |King Abdullah University for Science and Tech (KAUST)|SA    
KM |Kerr-McGee|US    
KO |Korean Meteorological Administration|KR    
L  |LUMCON|US    
LL |LLOG  |US    
LP |Louisiana Offshore Oil Port|US    
LT |Limno Tech|US    
MA |Marine Exchange of Alaska|US    
MB |MBARI |US    
MD |Maersk Drilling USA|US    
ME |Mariner Energy Inc. for MMS|US    
MG |Marubeni Oil and Gas Inc|US    
MI |University of Michigan|US    
ML |Moss Landing Marine Lab|US    
MM |MOTE Marine|US    
MN |University of Minnesota, Duluth|US    
MO |Marathon Oil|US    
MT |Michigan Technological University|US    
MU |Murphy|US    
N  |NDBC  |US    
NC |Northeastern Regional Association of Coastal Ocean Observing Systems|US    
NE |Noble Energy|US    
NF |Newfield Exploration Company|US    
NH |University of New Hampshire|US    
NP |Everglades National Park|US    
NR |National Estuarine Research Reserve System|US    
NS |South Carolina Nearshore Monitoring System|US    
NX |Nexen Petroleum USA|US    
O  |NOS   |US    
OR |Oregon Coastal Ocean Observing System|US    
OT |National Institute for Ocean Technology|IN    
P  |COMPS |US    
PA |NWS Pacific Region|US    
PB |Petrobras|US    
PE |Petrolia|US    
PF |NOAA Pacific Islands Fisheries Science Center|US    
PI |Pioneer|US    
PM |NOAA/PMEL|US    
PN |Puerto Rico Seismic Network|US    
PR |Prediction and Research Moored Array in the Atlantic|FR    
PS |Plains Exploration|US    
Q  |Mariner Energy Inc.|US    
R  |SCRIPPS|US    
RA |Raytheon|US    
RO |Remington Oil and Gas Corp|US    
RS |Repsol|ES    
RU |Rutgers|US    
S  |Skidaway|US    
SA |SAIC  |US    
SB |Shell Arctic|US    
SC |SCCOOS|US    
SF |San Francisco State|US    
SH |Shell Oil|US    
SJ |Meteorological Dept, States of Jersey|GB    
SL |Statoil Hydro|US    
SM |The Scottish Association for Marine Science (SAMS)|GB    
SO |NWS Southern Region|US    
SP |Spinnaker|US    
T  |TABS  |US    
TC |Terra Ceia Aquatic Preserve|US    
TH |Thailand Meteorological Department|TH    
TN |Tana Exploration Company|US    
TO |Total USA|US    
U  |UK Met Office|GB    
UD |University of Delaware|US    
UH |University of Hawaii|US    
UN |Unocal|US    
US |USM   |US    
UW |University of Washington/iRobot|US    
V  |NAVO  |US    
VM |Virginia Institute of Marine Science (VIMS)|US    
W  |Met Eireann|IE    
WA |University of Washington|US    
WE |NWS Western Region|US    
WH |Woods Hole Oceanographic Institution|US    
WI |Williams|US    
WO |Walter Oil and Gas|US    
WS |Woodside Energy|US    
WT |W&T Offshore|US    
X  |Private Industry Oil Platform|GB    
Y  |MYSOUND|US    
Z  |LSU CSI|US    
